WI06 WI05 TVD02 TVD01 TVD05 TVD12 TVD06 TVD07 TVD04 TVD03 PT1000 TVK01 TVK02 TVK03 TVK04 "Master clock"
0 0 20.9 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 21.75 23.0 23.5 23.5 23.5 0.96
0 0 20.9 21.25 21.375 21.4375 21.0875 21.0 21.0 21.0625 21.9375 23.0 24.0 24.0 23.5 5.97
1 0 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 22.375 23.25 23.75 23.75 24.0 10.97
2 1 20.9625 21.25 21.375 21.4375 21.15 21.0 21.0 21.0625 22.875 23.25 24.25 23.75 23.75 15.97
3 2 20.9625 21.25 21.375 21.375 21.0875 21.0 21.0 21.0625 23.4375 23.0 24.0 23.75 24.25 20.97
5 2 20.9 21.25 21.375 21.4375 21.0875 21.0625 21.0625 21.0625 24.0 23.0 24.75 23.75 25.0 25.98
6 3 20.9 21.25 21.3125 21.375 21.0875 21.0 21.0 21.0625 24.5625 23.25 25.0 23.25 26.0 30.98
7 3 20.9 21.25 21.375 21.4375 21.15 21.0 21.0 21.0625 25.1875 23.25 24.75 23.25 26.25 35.99
8 4 20.9625 21.25 21.375 21.375 21.15 21.0625 21.0 21.0625 25.8125 23.25 25.5 23.5 27.0 40.99
9 4 20.9 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 26.5 23.25 26.0 23.25 28.5 45.99
10 5 20.9 21.25 21.375 21.4375 21.15 21.0 21.0 21.0625 27.1875 23.25 25.75 23.5 29.5 51.0
11 6 20.9 21.25 21.375 21.4375 21.15 21.0625 21.0625 21.0625 27.875 22.75 26.5 23.0 29.75 56.0
12 6 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 28.5625 23.0 27.25 23.5 31.25 61.0
13 7 20.9625 21.25 21.375 21.4375 21.0875 21.0625 21.0 21.0625 29.3125 22.75 27.75 23.25 32.25 66.01
14 7 20.9625 21.25 21.375 21.4375 21.15 21.0 21.0625 21.0625 30.125 23.25 27.5 23.5 33.0 71.01
15 8 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 30.9375 23.25 28.25 23.5 34.0 76.01
16 8 20.9625 21.25 21.375 21.4375 21.15 21.0 21.0 21.0625 31.75 23.25 28.75 23.0 35.0 81.01
18 9 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0625 21.0625 32.5625 23.0 28.25 23.5 36.0 86.02
19 10 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 33.375 23.0 29.0 23.5 37.0 91.02
20 10 20.9625 21.25 21.375 21.4375 21.15 21.0 21.0 21.0625 34.25 23.0 29.75 23.5 38.5 96.02
21 11 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 35.125 23.25 30.0 23.5 39.0 101.03
22 11 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.0625 36.0 23.25 30.25 23.75 40.0 106.03
23 12 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 36.9375 23.25 31.0 24.0 41.5 111.03
24 12 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 37.8125 23.0 31.75 23.25 42.75 116.03
25 13 20.9625 21.3125 21.375 21.4375 21.15 21.0625 21.0 21.125 38.75 23.0 32.0 23.25 43.75 121.04
26 13 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 39.625 23.0 33.0 23.0 45.0 126.04
27 14 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 40.5625 23.5 33.25 23.5 45.75 131.04
28 15 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 41.5 23.25 33.75 23.5 47.0 136.05
29 15 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0625 21.125 42.4375 23.25 34.25 23.5 47.75 141.05
30 16 20.9 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 43.375 23.25 34.25 23.0 49.5 146.05
31 16 20.9625 21.25 21.375 21.4375 21.2125 21.0625 21.0 21.125 44.3125 23.0 35.25 23.5 50.0 151.06
32 17 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.125 45.3125 23.5 35.5 23.5 51.5 156.06
33 17 20.9625 21.25 21.375 21.4375 21.15 21.0625 21.0 21.1875 46.25 23.25 36.0 23.5 52.5 161.06
34 18 20.9625 21.3125 21.4375 21.5 21.15 21.125 21.0625 21.1875 47.125 23.25 36.25 23.25 53.5 166.07
35 19 20.9625 21.3125 21.375 21.5 21.15 21.0625 21.0 21.1875 48.125 23.25 36.5 23.5 54.75 171.07
36 19 20.9625 21.3125 21.375 21.5 21.2125 21.125 21.0625 21.25 49.125 22.75 37.0 23.75 55.75 176.07
37 20 20.9625 21.3125 21.375 21.5 21.2125 21.125 21.0625 21.1875 50.0625 23.25 37.5 24.0 57.0 181.08
39 20 20.9625 21.3125 21.4375 21.5 21.2125 21.125 21.0 21.1875 51.0 23.0 38.0 23.75 58.25 186.08
40 21 20.9625 21.3125 21.375 21.5 21.2125 21.125 21.0625 21.25 52.0 23.25 38.5 23.75 58.75 191.08
41 21 20.9625 21.3125 21.4375 21.5 21.2125 21.125 21.0625 21.25 52.9375 23.0 39.25 23.0 60.25 196.09
42 22 20.9625 21.3125 21.375 21.5 21.2125 21.125 21.0625 21.3125 53.875 23.25 39.75 23.75 61.25 201.09
43 22 20.9625 21.3125 21.375 21.5 21.2125 21.125 21.0625 21.25 54.8125 23.0 40.0 23.75 62.25 206.09
44 23 20.9625 21.3125 21.4375 21.5 21.2125 21.125 21.0625 21.3125 55.8125 22.75 40.5 23.75 63.0 211.09
45 23 20.9625 21.3125 21.4375 21.5625 21.2125 21.125 21.0625 21.3125 56.75 23.0 41.25 23.25 64.5 216.1
46 24 20.9625 21.3125 21.4375 21.5625 21.2125 21.125 21.0625 21.3125 57.6875 23.0 41.75 23.75 65.25 221.1
47 25 20.9625 21.3125 21.375 21.5625 21.2125 21.125 21.0625 21.375 58.625 23.5 42.5 23.5 66.5 226.1
48 25 20.9625 21.3125 21.4375 21.5625 21.2125 21.1875 21.0625 21.375 59.625 23.0 42.75 23.5 67.5 231.11
49 26 20.9625 21.3125 21.375 21.5625 21.2125 21.1875 21.0625 21.375 60.625 23.25 43.25 23.5 68.5 236.11
50 26 20.9625 21.3125 21.4375 21.625 21.2125 21.1875 21.0625 21.375 61.5 23.25 43.75 23.25 70.25 241.11
51 27 20.9625 21.3125 21.4375 21.5625 21.2125 21.1875 21.0625 21.375 62.5 22.75 44.5 23.25 70.75 246.12
52 27 20.9625 21.3125 21.4375 21.625 21.2125 21.1875 21.0625 21.4375 63.375 23.25 44.75 23.5 71.75 251.12
53 28 20.9625 21.3125 21.4375 21.625 21.275 21.1875 21.0625 21.4375 64.375 22.75 45.0 23.25 72.75 256.12
54 28 20.9625 21.3125 21.4375 21.625 21.275 21.1875 21.0625 21.4375 65.3125 23.0 45.75 23.5 74.0 261.13
55 29 20.9625 21.3125 21.4375 21.625 21.275 21.1875 21.0625 21.5 66.25 23.5 46.0 23.75 74.75 266.13
56 30 20.9625 21.375 21.4375 21.625 21.275 21.25 21.0625 21.5 67.1875 23.5 46.5 23.5 76.0 271.13
57 30 20.9625 21.3125 21.4375 21.625 21.275 21.25 21.0625 21.5 68.0625 23.25 47.0 23.5 76.5 276.13
58 31 20.9625 21.375 21.4375 21.6875 21.275 21.25 21.0625 21.5625 69.0 22.5 47.5 23.0 78.0 281.14
59 31 21.025 21.375 21.5 21.6875 21.275 21.25 21.0625 21.5625 70.0 23.25 48.0 23.75 78.75 286.14
60 32 20.9625 21.375 21.4375 21.6875 21.275 21.25 21.0625 21.5625 70.875 23.5 48.5 23.5 80.25 291.14
61 32 21.025 21.375 21.5 21.6875 21.275 21.3125 21.0625 21.625 71.8125 23.25 48.75 23.5 80.25 296.15
62 33 21.025 21.375 21.5 21.6875 21.3375 21.3125 21.0625 21.625 72.6875 23.25 49.25 23.5 82.25 301.15
63 33 21.025 21.375 21.4375 21.75 21.275 21.25 21.0625 21.625 73.5625 23.25 49.75 23.5 83.25 306.15
64 34 21.025 21.375 21.5 21.75 21.3375 21.3125 21.0625 21.6875 74.5 23.0 50.0 23.5 83.75 311.16
65 34 21.025 21.375 21.5 21.75 21.3375 21.3125 21.0625 21.6875 75.375 23.25 50.75 23.5 85.0 316.16
66 35 21.025 21.375 21.5 21.75 21.3375 21.3125 21.0625 21.6875 76.25 23.0 51.25 23.75 85.75 321.16
67 36 21.025 21.375 21.5 21.8125 21.3375 21.3125 21.0625 21.6875 77.125 23.25 51.75 23.75 86.5 326.16
68 36 21.025 21.375 21.5 21.75 21.3375 21.3125 21.125 21.75 78.0625 23.25 51.5 23.5 87.5 331.17
69 37 21.025 21.375 21.5 21.8125 21.3375 21.3125 21.0625 21.8125 78.875 23.0 52.5 23.5 88.75 336.17
70 37 21.025 21.4375 21.5 21.8125 21.3375 21.375 21.0625 21.8125 79.75 23.5 52.75 23.75 89.25 341.17
71 38 21.025 21.375 21.5 21.8125 21.4 21.375 21.0625 21.8125 80.625 23.5 53.25 23.25 90.5 346.18
72 38 21.025 21.4375 21.5 21.8125 21.4 21.375 21.125 21.875 81.5 23.5 53.5 23.5 91.5 351.18
73 39 21.025 21.4375 21.5 21.875 21.4 21.375 21.125 21.875 82.375 23.25 54.0 23.75 92.25 356.18
74 39 21.025 21.4375 21.5 21.875 21.4 21.375 21.125 21.9375 83.1875 23.25 54.5 23.75 93.25 361.19
75 40 21.025 21.4375 21.5 21.875 21.4 21.375 21.125 21.9375 84.0 23.5 55.25 23.5 93.5 366.19
76 40 21.0875 21.4375 21.5 21.9375 21.4 21.4375 21.0625 21.9375 84.875 23.25 55.75 23.75 95.0 371.19
77 41 21.025 21.4375 21.5 21.875 21.4 21.4375 21.125 22.0 85.75 23.5 56.25 24.0 95.75 376.2
78 42 21.0875 21.4375 21.5625 21.9375 21.4 21.4375 21.0625 22.0 86.5625 23.5 56.75 23.0 97.25 381.2
79 42 21.025 21.4375 21.5625 21.9375 21.4625 21.4375 21.125 22.0 87.375 23.25 57.25 23.75 97.5 386.2
80 43 21.0875 21.4375 21.5625 21.9375 21.4625 21.4375 21.125 22.0625 88.1875 23.5 57.75 23.75 98.25 391.2
81 43 21.025 21.4375 21.5625 22.0 21.4625 21.5 21.125 22.0625 88.9375 23.5 58.0 23.75 98.75 396.21
82 44 21.025 21.4375 21.5625 22.0 21.4625 21.5 21.125 22.125 89.8125 23.25 58.5 24.0 100.0 401.21
83 44 21.0875 21.5 21.5625 22.0 21.4625 21.5 21.125 22.1875 90.625 23.75 58.75 23.75 101.0 406.21
84 45 21.0875 21.4375 21.5625 22.0 21.525 21.5 21.125 22.125 91.375 23.25 59.25 23.5 101.75 411.22
85 45 21.0875 21.5 21.5625 22.0625 21.4625 21.5625 21.125 22.1875 92.1875 23.75 59.75 23.5 102.5 416.22
86 46 21.025 21.5 21.5625 22.0625 21.4625 21.5625 21.125 22.25 92.9375 23.5 60.0 23.75 103.75 421.23
87 46 21.0875 21.5 21.625 22.0625 21.525 21.5625 21.125 22.25 93.75 23.75 60.5 24.0 104.25 426.23
88 47 21.0875 21.5 21.5625 22.0625 21.525 21.5625 21.125 22.3125 94.5 23.5 60.75 24.25 105.0 431.23
89 47 21.0875 21.5 21.5625 22.125 21.525 21.5625 21.125 22.3125 95.25 23.5 61.0 24.0 105.25 436.23
90 48 21.0875 21.5 21.625 22.125 21.525 21.625 21.125 22.375 96.0 23.25 61.75 24.25 106.5 441.24
91 49 21.0875 21.5 21.625 22.125 21.525 21.625 21.125 22.375 96.75 23.75 61.75 24.0 107.25 446.24
92 49 21.0875 21.5 21.625 22.1875 21.525 21.625 21.1875 22.375 97.5 23.75 62.75 23.5 107.75 451.24
93 50 21.0875 21.5 21.625 22.1875 21.5875 21.625 21.1875 22.4375 98.25 23.75 63.0 24.0 108.5 456.25
94 50 21.0875 21.5 21.625 22.1875 21.5875 21.6875 21.125 22.5 98.9375 23.75 63.5 24.0 109.5 461.25
95 51 21.0875 21.5 21.625 22.1875 21.5875 21.6875 21.125 22.5 99.6875 23.75 63.75 23.75 110.0 466.25
96 51 21.0875 21.5 21.625 22.25 21.5875 21.625 21.1875 22.5625 100.375 24.0 64.0 23.75 111.25 471.25
97 52 21.15 21.5 21.625 22.25 21.5875 21.6875 21.1875 22.5625 101.0625 23.5 64.75 23.75 112.0 476.26
98 52 21.15 21.5625 21.625 22.25 21.5875 21.6875 21.1875 22.5625 101.75 23.75 65.0 23.5 112.5 481.26
99 53 21.15 21.5625 21.6875 22.25 21.65 21.6875 21.1875 22.625 102.4375 23.75 64.75 23.75 113.25 486.26
100 53 21.15 21.5625 21.6875 22.3125 21.65 21.75 21.125 22.625 103.0625 23.75 65.5 23.75 114.0 491.27
101 54 21.15 21.5625 21.6875 22.3125 21.65 21.75 21.1875 22.6875 103.8125 23.75 66.0 23.75 114.75 496.27
102 54 21.15 21.5625 21.6875 22.375 21.65 21.75 21.1875 22.75 104.4375 23.5 66.5 23.75 115.0 501.27
103 55 21.15 21.5625 21.6875 22.375 21.7125 21.75 21.1875 22.75 105.0625 24.0 67.0 23.75 115.75 506.28
104 56 21.15 21.5625 21.6875 22.375 21.65 21.75 21.1875 22.8125 105.75 23.5 67.75 23.75 117.0 511.28
105 56 21.15 21.5625 21.6875 22.375 21.7125 21.8125 21.1875 22.8125 106.375 23.75 67.75 23.5 117.75 516.28
106 57 21.15 21.5625 21.6875 22.375 21.7125 21.8125 21.1875 22.875 107.0625 23.5 68.5 23.5 118.25 521.28
107 57 21.2125 21.625 21.6875 22.4375 21.7125 21.8125 21.1875 22.875 107.625 24.0 68.75 23.75 118.75 526.29
108 58 21.15 21.625 21.75 22.4375 21.7125 21.875 21.1875 22.9375 108.25 23.5 69.5 23.75 119.5 531.29
109 58 21.2125 21.625 21.75 22.4375 21.775 21.875 21.1875 22.9375 108.9375 23.5 69.25 24.0 120.25 536.3
110 59 21.2125 21.625 21.75 22.5 21.775 21.875 21.1875 23.0 109.5625 23.5 69.75 24.25 121.0 541.3
111 59 21.2125 21.625 21.75 22.5 21.775 21.875 21.1875 23.0 110.125 23.5 70.0 24.25 121.25 546.3
112 60 21.2125 21.625 21.75 22.5625 21.775 21.875 21.1875 23.0625 110.75 23.75 70.5 24.25 122.0 551.3
113 60 21.2125 21.625 21.75 22.5625 21.775 21.9375 21.25 23.125 111.375 23.5 70.5 23.75 123.0 556.33
114 61 21.2125 21.625 21.75 22.5625 21.775 21.9375 21.25 23.125 111.9375 23.5 71.0 24.0 123.25 561.31
115 61 21.2125 21.625 21.75 22.625 21.775 21.9375 21.25 23.125 112.5 23.0 72.0 24.0 124.0 566.31
