WI06 TVD02 TVD06 PT1000_1 "Master clock"
0 22.0625 20.875 21.625 0.73
0 22.0625 20.875 21.625 5.79
3 22.0625 20.8125 21.625 10.82
6 22.0 20.875 21.625 16.32
8 22.0 20.875 21.625 21.37
11 22.0 20.875 21.5625 26.42
14 21.9375 20.875 21.5625 31.47
16 21.9375 20.8125 21.5625 36.51
19 21.9375 20.875 21.5625 41.54
22 21.9375 20.875 21.5625 46.59
24 21.9375 20.875 21.5625 51.63
27 21.875 20.875 21.5625 56.68
30 21.9375 20.8125 21.5625 61.7
32 21.875 20.8125 21.5625 66.75
35 21.875 20.8125 21.5625 71.8
38 21.875 20.875 21.5625 76.83
40 21.875 20.8125 21.625 81.86
43 21.875 20.8125 21.625 86.91
46 21.8125 20.875 21.625 91.95
48 21.8125 20.8125 21.6875 96.99
54 21.8125 20.8125 21.75 102.22
56 21.8125 20.8125 21.75 107.22
59 21.875 20.8125 21.875 112.22
61 21.875 20.8125 21.875 117.22
64 21.875 20.8125 21.9375 122.24
67 21.875 20.875 22.0625 127.27
69 21.875 20.8125 22.125 132.32
72 21.875 20.875 22.1875 137.36
75 21.875 20.8125 22.3125 142.41
77 21.9375 20.875 22.375 147.43
80 21.9375 20.875 22.4375 152.48
83 22.0 20.875 22.5 157.52
85 22.0 20.875 22.625 162.57
88 22.0625 20.9375 22.75 167.62
90 22.0625 20.875 22.8125 172.67
93 22.125 20.875 22.9375 177.73
96 22.125 20.875 23.0 182.76
98 22.1875 20.9375 23.0625 187.8
101 22.1875 20.9375 23.1875 192.85
104 22.25 20.9375 23.3125 197.9
106 22.25 20.9375 23.375 202.93
109 22.3125 21.0 23.5625 207.97
111 22.375 21.0 23.625 213.02
114 22.4375 21.0 23.6875 218.07
117 22.5 21.0625 23.875 223.09
119 22.5625 21.0625 24.0 228.14
122 22.625 21.125 24.1875 233.18
125 22.6875 21.125 24.3125 238.34
127 22.75 21.125 24.5 243.38
130 22.8125 21.1875 24.625 248.43
132 22.875 21.1875 24.8125 253.47
135 23.0 21.1875 24.9375 258.5
138 23.0625 21.25 25.125 263.54
140 23.125 21.25 25.125 268.58
143 23.1875 21.3125 25.3125 273.63
146 23.3125 21.3125 25.4375 278.67
148 23.375 21.3125 25.5625 283.71
151 23.4375 21.375 25.6875 288.76
153 23.5 21.4375 25.8125 293.8
156 23.625 21.4375 26.0 298.84
159 23.6875 21.4375 26.0625 303.88
161 23.875 21.5 26.3125 308.92
164 23.9375 21.5625 26.5 313.97
167 24.0625 21.5625 26.6875 319.01
169 24.125 21.625 26.875 324.05
172 24.25 21.625 27.0 329.11
174 24.375 21.6875 27.125 334.15
177 24.5 21.75 27.3125 339.19
180 24.5625 21.75 27.4375 344.24
182 24.6875 21.8125 27.5 349.29
185 24.8125 21.8125 27.625 354.33
188 24.875 21.875 27.875 359.36
190 25.0 21.9375 28.0625 364.41
193 25.1875 21.9375 28.1875 369.46
195 25.25 22.0 28.3125 374.5
198 25.375 22.0625 28.5625 379.53
201 25.5 22.0625 28.6875 384.59
203 25.625 22.125 28.75 389.64
