WI06 TVD02 TVD06 TVD03 PT1000_1 "Master clock"
0 21.125 20.25 20.9375 21.125 0.28
0 21.0625 20.3125 20.9375 21.125 5.4
2 21.125 20.3125 20.9375 21.125 10.4
5 21.125 20.3125 21.0 21.125 15.41
8 21.125 20.3125 20.9375 21.125 20.45
10 21.125 20.25 20.9375 21.125 25.49
13 21.0625 20.3125 21.0 21.125 30.54
16 21.0625 20.3125 21.0 21.125 35.58
18 21.125 20.25 21.0 21.125 40.63
21 21.125 20.3125 21.0 21.125 45.69
24 21.0625 20.3125 21.0625 21.125 50.72
26 21.125 20.3125 21.0625 21.1875 55.76
29 21.125 20.3125 21.125 21.1875 60.8
31 21.125 20.3125 21.125 21.1875 65.84
34 21.125 20.3125 21.1875 21.1875 70.9
37 21.125 20.3125 21.1875 21.1875 75.94
39 21.125 20.3125 21.25 21.1875 80.99
42 21.125 20.3125 21.3125 21.25 86.03
45 21.125 20.3125 21.3125 21.25 91.11
50 21.1875 20.3125 21.5 21.3125 96.35
52 21.125 20.3125 21.625 21.375 101.34
55 21.1875 20.3125 21.75 21.5 106.34
58 21.1875 20.3125 21.875 21.5625 111.36
60 21.25 20.3125 22.0625 21.625 116.4
63 21.25 20.3125 22.1875 21.75 121.45
65 21.25 20.3125 22.3125 21.875 126.51
68 21.3125 20.25 22.4375 21.9375 131.56
71 21.3125 20.3125 22.5625 22.0 136.61
73 21.375 20.3125 22.75 22.0625 141.65
76 21.375 20.3125 22.9375 22.0625 146.69
78 21.4375 20.3125 23.1875 22.25 151.74
81 21.4375 20.3125 23.375 22.4375 156.78
83 21.5 20.3125 23.5625 22.5625 161.83
86 21.5625 20.3125 23.75 22.875 166.88
89 21.6875 20.3125 24.0 22.9375 171.93
91 21.6875 20.3125 24.1875 23.0 176.98
94 21.75 20.3125 24.375 23.0625 182.03
96 21.8125 20.3125 24.5 23.125 187.08
99 21.875 20.3125 24.5 23.1875 192.13
102 21.875 20.3125 24.6875 23.3125 197.17
104 21.9375 20.3125 25.0 23.375 202.22
107 22.0625 20.375 25.25 23.5625 207.27
109 22.0625 20.375 25.5 23.6875 212.32
112 22.125 20.375 25.6875 23.8125 217.38
114 22.1875 20.3125 25.9375 23.9375 222.41
117 22.3125 20.3125 26.0625 23.9375 227.47
120 22.375 20.3125 26.25 24.125 232.52
122 22.4375 20.375 26.4375 24.1875 237.57
125 22.5 20.3125 26.6875 24.3125 242.61
127 22.5625 20.375 27.125 24.5625 247.64
130 22.625 20.375 27.4375 24.75 252.69
132 22.75 20.375 27.625 24.9375 257.73
135 22.8125 20.375 27.75 25.0 262.78
137 22.9375 20.375 27.875 25.125 267.82
140 23.0 20.375 28.125 25.25 272.87
143 23.125 20.375 28.4375 25.75 277.92
145 23.3125 20.375 28.8125 26.125 282.96
148 23.4375 20.375 29.125 26.375 288.01
150 23.5625 20.375 29.1875 26.4375 293.07
153 23.6875 20.4375 29.125 26.375 298.11
155 23.75 20.375 29.1875 26.375 303.16
158 23.8125 20.4375 29.3125 26.4375 308.2
161 23.9375 20.4375 29.6875 26.625 313.25
163 24.0 20.375 30.25 26.9375 318.3
166 24.125 20.375 30.5625 27.0 323.35
168 24.25 20.4375 30.75 27.125 328.41
171 24.375 20.4375 30.6875 27.1875 333.45
173 24.4375 20.4375 30.6875 27.25 338.49
176 24.5625 20.4375 31.0625 27.5 343.55
179 24.625 20.4375 31.5625 27.875 348.59
181 24.8125 20.4375 32.0 28.1875 353.64
184 24.9375 20.5 32.1875 28.1875 358.71
186 25.0 20.5 32.3125 28.25 363.76
189 25.1875 20.5 32.5625 28.375 368.82
191 25.25 20.5 32.9375 28.5625 373.87
194 25.4375 20.5 33.25 28.75 378.92
197 25.5625 20.5 33.5 29.125 383.97
199 25.6875 20.5 33.5625 29.0625 389.02
202 25.8125 20.5 33.5625 29.125 394.06
204 25.9375 20.5 33.75 29.1875 399.11
207 26.0625 20.5 34.0 29.25 404.2
210 26.1875 20.5625 34.3125 29.625 409.24
212 26.3125 20.5625 34.75 29.75 414.31
215 26.4375 20.5625 34.875 30.0 419.36
217 26.5625 20.5625 34.9375 30.0625 424.4
220 26.625 20.5625 35.0625 30.1875 429.44
222 26.8125 20.5625 35.1875 30.4375 434.52
225 26.9375 20.5625 35.4375 30.6875 439.58
228 27.0625 20.5625 35.5 30.8125 444.63
230 27.1875 20.5625 35.5625 30.8125 449.68
233 27.3125 20.625 35.75 31.0 454.74
235 27.4375 20.625 36.0 31.25 459.79
238 27.5625 20.625 36.5625 31.4375 464.84
241 27.75 20.625 36.75 31.75 469.88
243 27.875 20.625 36.625 31.875 474.93
246 28.0 20.6875 36.875 31.875 479.98
248 28.125 20.6875 37.25 32.0 485.03
251 28.25 20.6875 37.375 32.25 490.07
253 28.375 20.6875 37.75 32.625 495.13
256 28.5625 20.6875 37.9375 32.75 500.21
259 28.6875 20.6875 38.0 32.8125 505.27
261 28.8125 20.75 38.125 32.8125 510.31
264 28.9375 20.75 38.25 32.875 515.4
266 29.0625 20.75 38.4375 32.9375 520.41
269 29.1875 20.75 38.6875 33.0 525.45
272 29.3125 20.75 38.6875 33.0625 530.5
274 29.375 20.75 38.8125 33.1875 535.55
277 29.5625 20.8125 39.1875 33.5 540.59
279 29.6875 20.8125 39.4375 33.625 545.65
282 29.875 20.8125 39.5625 33.8125 550.69
318 31.5625 20.9375 41.8125 35.25 620.77
321 31.625 20.9375 41.9375 35.5 625.82
323 31.75 21.0 42.125 35.5 630.87
326 31.875 21.0 42.25 35.625 635.92
328 32.0 21.0 42.5625 35.8125 640.97
331 32.125 21.0 42.8125 36.0625 646.01
334 32.25 21.0625 43.125 36.25 651.07
336 32.375 21.0625 43.1875 36.5 656.12
341 32.625 21.0625 43.125 36.5 661.34
344 32.75 21.0625 43.375 36.5 666.34
347 32.8125 21.125 43.6875 36.625 671.34
349 32.9375 21.125 43.9375 36.8125 676.34
352 33.0625 21.125 43.875 36.875 681.37
354 33.1875 21.125 43.8125 36.9375 686.42
357 33.3125 21.1875 43.875 37.0 691.47
360 33.4375 21.1875 44.0 37.1875 696.52
362 33.5625 21.1875 44.3125 37.25 701.56
365 33.6875 21.1875 44.625 37.5625 706.61
367 33.8125 21.1875 44.625 37.5625 711.65
370 34.0 21.1875 44.875 37.625 716.7
372 34.125 21.25 45.0625 37.9375 721.75
375 34.25 21.25 45.1875 38.125 726.79
378 34.375 21.25 45.375 38.25 731.83
380 34.5 21.3125 45.25 38.125 736.87
383 34.625 21.3125 45.25 38.125 741.92
385 34.6875 21.3125 45.625 38.1875 746.97
388 34.8125 21.3125 46.0625 38.75 752.01
390 34.9375 21.3125 46.3125 38.6875 757.06
393 35.0625 21.375 46.3125 38.75 762.11
395 35.1875 21.375 46.125 38.6875 767.16
398 35.3125 21.375 46.0 38.8125 772.21
401 35.4375 21.4375 46.25 38.8125 777.26
403 35.5625 21.4375 46.8125 39.1875 782.31
406 35.6875 21.4375 47.25 39.5625 787.36
408 35.875 21.4375 47.4375 40.0625 792.41
411 36.0 21.4375 47.25 40.0 797.46
413 36.125 21.5 47.125 39.875 802.51
416 36.25 21.5 47.25 40.0 807.54
418 36.3125 21.5 47.5625 40.1875 812.59
421 36.375 21.5 47.625 40.1875 817.63
424 36.5 21.5625 47.6875 40.3125 822.68
426 36.625 21.5625 47.75 40.4375 827.73
429 36.8125 21.5625 47.9375 40.5 832.77
431 36.9375 21.5625 47.875 40.5 837.82
434 37.0 21.5625 48.0 40.375 842.87
436 37.125 21.625 48.3125 40.5 847.92
439 37.25 21.625 48.625 40.6875 852.98
442 37.3125 21.625 48.75 40.75 858.02
444 37.375 21.6875 48.6875 41.0 863.08
447 37.5 21.6875 48.5 41.125 868.12
